DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,test
14,3,741,730,912,849,YES
15,4,729,730,903,849,YES
17,6,741,730,918,849,YES
18,7,729,730,847,849,NO
19,1,749,730,922,849,YES
21,3,728,730,848,849,NO
22,4,728,730,852,849,YES
23,5,731,730,902,849,YES
24,6,744,730,908,849,YES
25,7,729,730,851,849,YES
26,1,735,730,904,849,YES
28,3,741,725,919,855,YES
29,4,742,725,906,855,YES
31,6,726,725,848,855,NO
1,4,936,915,1035,1001,YES
2,5,918,915,1017,1001,YES
3,6,928,915,1037,1001,YES
4,7,914,915,1003,1001,YES
5,1,1042,915,1129,1001,YES
6,2,934,915,1024,1001,YES
7,3,946,915,1037,1001,YES
8,4,932,915,1033,1001,YES
9,5,947,915,1036,1001,YES
10,6,915,915,1022,1001,YES
11,7,916,915,1006,1001,YES
12,1,944,915,1027,1001,YES
13,2,941,915,1036,1001,YES
14,3,930,915,1029,1001,YES
15,4,920,915,1023,1001,YES
17,6,1009,915,1104,1001,YES
18,7,915,915,1008,1001,YES
19,1,940,915,1032,1001,YES
21,3,913,915,1003,1001,YES
22,4,915,915,1017,1001,YES
23,5,927,915,1022,1001,YES
24,6,929,915,1052,1001,YES
25,7,914,915,1011,1001,YES
26,1,917,915,1023,1001,YES
27,2,916,915,1014,1001,YES
28,3,941,925,1106,1015,YES
29,4,940,925,1044,1015,YES
30,5,1009,925,1105,1015,YES
31,6,945,925,1040,1015,YES
1,4,1520,1505,1624,1608,YES
2,5,1508,1505,1615,1608,YES
4,7,1526,1505,1625,1608,YES
5,1,1504,1505,1602,1608,NO
6,2,1505,1505,1607,1608,NO
7,3,1512,1505,1614,1608,YES
8,4,1528,1505,1636,1608,YES
9,5,1606,1505,1708,1608,YES
11,7,1505,1505,1602,1608,NO
12,1,,1505,,1608,YES
13,2,1533,1505,1640,1608,YES
14,3,1528,1505,1639,1608,YES
15,4,1543,1505,1645,1608,YES
16,5,1521,1505,1626,1608,YES
19,1,1513,1505,1617,1608,YES
20,2,1551,1505,1646,1608,YES
21,3,1504,1505,1620,1608,YES
22,4,1518,1505,1623,1608,YES
23,5,1558,1505,1717,1608,YES
25,7,1531,1505,1635,1608,YES
26,1,1508,1505,1614,1608,YES
27,2,1531,1505,1627,1608,YES
28,3,1550,1550,1706,1657,YES
29,4,1550,1550,1700,1657,YES
30,5,1556,1550,1706,1657,YES
1,4,1643,1635,1750,1732,YES
2,5,1635,1635,1737,1732,YES
3,6,1634,1635,1748,1732,YES
4,7,1646,1635,1750,1732,YES
5,1,1634,1635,1736,1732,YES
6,2,1634,1635,1735,1732,YES
7,3,1634,1635,1730,1732,NO
8,4,1654,1635,1755,1732,YES
9,5,1731,1635,1831,1732,YES
10,6,1635,1635,1740,1732,YES
11,7,1634,1635,1740,1732,YES
12,1,,1635,,1732,YES
13,2,1656,1635,1758,1732,YES
14,3,1652,1635,1750,1732,YES
15,4,1701,1635,1805,1732,YES
16,5,1647,1635,1746,1732,YES
17,6,1634,1635,1743,1732,YES
19,1,1635,1635,1735,1732,YES
20,2,1705,1635,1808,1732,YES
21,3,1638,1635,1742,1732,YES
22,4,1640,1635,1744,1732,YES
23,5,1743,1635,1845,1732,YES
24,6,1634,1635,1745,1732,YES
25,7,1657,1635,1804,1732,YES
26,1,1634,1635,1736,1732,YES
27,2,1644,1635,1746,1732,YES
31,6,721,700,828,809,YES
1,4,851,830,1008,937,YES
2,5,831,830,948,937,YES
5,1,833,830,932,937,NO
6,2,,830,,937,YES
8,4,843,830,952,937,YES
13,2,834,830,955,937,YES
15,4,836,830,946,937,YES
16,5,840,830,1000,937,YES
19,1,844,830,952,937,YES
20,2,852,830,957,937,YES
22,4,831,830,939,937,YES
23,5,840,830,948,937,YES
26,1,831,830,933,937,NO
27,2,832,830,936,937,NO
29,4,837,830,958,940,YES
30,5,832,830,948,940,YES
1,4,659,650,834,800,YES
2,5,657,650,814,800,YES
3,6,651,650,830,800,YES
5,1,652,650,808,800,YES
6,2,701,650,851,800,YES
7,3,653,650,808,800,YES
8,4,657,650,826,800,YES
9,5,655,650,812,800,YES
10,6,655,650,815,800,YES
12,1,654,650,811,800,YES
13,2,652,650,814,800,YES
14,3,654,650,820,800,YES
15,4,654,650,810,800,YES
16,5,653,650,820,800,YES
17,6,655,650,810,800,YES
19,1,656,650,824,800,YES
20,2,651,650,826,800,YES
21,3,650,650,815,800,YES
22,4,655,650,811,800,YES
23,5,654,650,811,800,YES
24,6,652,650,808,800,YES
26,1,752,750,809,800,YES
27,2,750,750,815,800,YES
28,3,746,745,800,759,YES
29,4,745,745,804,759,YES
30,5,745,745,801,759,YES
1,4,934,930,1044,1035,YES
2,5,930,930,1038,1035,YES
3,6,933,930,1042,1035,YES
4,7,931,930,1041,1035,YES
5,1,931,930,1032,1035,NO
6,2,958,930,1107,1035,YES
10,6,930,930,1032,1035,NO
12,1,931,930,1055,1035,YES
13,2,938,930,1105,1035,YES
14,3,942,930,1129,1035,YES
15,4,932,930,1039,1035,YES
16,5,931,930,1036,1035,YES
17,6,929,930,1035,1035,NO
18,7,928,930,1033,1035,NO
19,1,939,930,1049,1035,YES
20,2,944,930,1052,1035,YES
21,3,932,930,1034,1035,NO
22,4,929,930,1033,1035,NO
23,5,945,930,1111,1035,YES
24,6,931,930,1042,1035,YES
25,7,930,930,1033,1035,NO
26,1,931,930,1046,1035,YES
27,2,932,930,1033,1035,NO
28,3,930,930,1038,1040,NO
29,4,,930,,1040,YES
31,6,940,930,1045,1040,YES
1,4,1127,1120,1253,1250,YES
2,5,1124,1120,1252,1250,YES
3,6,1120,1120,1250,1250,NO
4,7,1120,1120,1250,1250,NO
5,1,1128,1120,1252,1250,YES
6,2,1128,1120,1254,1250,YES
10,6,1119,1120,1302,1250,YES
12,1,1120,1120,1248,1250,NO
13,2,1123,1120,1259,1250,YES
14,3,1153,1120,1321,1250,YES
15,4,1122,1120,1256,1250,YES
16,5,1124,1120,1254,1250,YES
17,6,1120,1120,1255,1250,YES
18,7,1120,1120,1244,1250,NO
19,1,1128,1120,1259,1250,YES
20,2,1122,1120,1244,1250,NO
21,3,1120,1120,1245,1250,NO
22,4,1121,1120,1251,1250,YES
23,5,1138,1120,1307,1250,YES
24,6,1120,1120,1303,1250,YES
25,7,1121,1120,1306,1250,YES
26,1,1121,1120,1258,1250,YES
27,2,1119,1120,1302,1250,YES
1,4,1830,1830,1936,1929,YES
2,5,1837,1830,1950,1929,YES
3,6,1829,1830,1926,1929,NO
4,7,1831,1830,1947,1929,YES
5,1,1830,1830,1944,1929,YES
6,2,1829,1830,1942,1929,YES
8,4,1842,1830,1950,1929,YES
9,5,1830,1830,1941,1929,YES
10,6,1828,1830,1931,1929,YES
11,7,1833,1830,1950,1929,YES
13,2,1830,1830,1937,1929,YES
14,3,1835,1830,1947,1929,YES
15,4,1839,1830,1949,1929,YES
17,6,1830,1830,1930,1929,YES
18,7,1830,1830,1934,1929,YES
19,1,1834,1830,1944,1929,YES
20,2,1828,1830,1943,1929,YES
21,3,1829,1830,1938,1929,YES
22,4,1844,1830,2023,1929,YES
23,5,1834,1830,1944,1929,YES
24,6,1829,1830,1928,1929,NO
25,7,1829,1830,1938,1929,YES
26,1,1829,1830,1936,1929,YES
28,3,1845,1846,2001,1949,YES
29,4,1851,1846,1957,1949,YES
30,5,1846,1846,1957,1949,YES
31,6,1845,1846,1947,1949,NO
1,4,1808,1800,1915,1901,YES
2,5,1802,1800,1913,1901,YES
3,6,1800,1800,1910,1901,YES
4,7,1813,1800,1912,1901,YES
5,1,1759,1800,1903,1901,YES
6,2,1800,1800,1902,1901,YES
7,3,1759,1800,1906,1901,YES
8,4,1819,1800,1919,1901,YES
9,5,1905,1800,2012,1901,YES
10,6,1759,1800,1859,1901,NO
11,7,1800,1800,1858,1901,NO
12,1,1759,1800,1906,1901,YES
13,2,1823,1800,1930,1901,YES
14,3,1808,1800,1919,1901,YES
15,4,1819,1800,1932,1901,YES
16,5,1809,1800,1913,1901,YES
17,6,1759,1800,1900,1901,NO
19,1,1759,1800,1902,1901,YES
20,2,1827,1800,1946,1901,YES
21,3,1805,1800,1903,1901,YES
22,4,1805,1800,1912,1901,YES
23,5,1909,1800,2026,1901,YES
24,6,1801,1800,1906,1901,YES
25,7,1827,1800,1928,1901,YES
26,1,1759,1800,1859,1901,NO
27,2,1811,1800,1913,1901,YES
28,3,1907,1850,2015,1957,YES
29,4,1852,1850,2004,1957,YES
30,5,1858,1850,2002,1957,YES
31,6,1849,1850,1950,1957,NO
28,3,1559,1515,1702,1611,YES
29,4,1525,1515,1636,1611,YES
30,5,1518,1515,1620,1611,YES
1,4,2003,2000,2058,2059,NO
2,5,2000,2000,2100,2059,YES
4,7,2040,2000,2136,2059,YES
6,2,2000,2000,2055,2059,NO
7,3,1959,2000,2055,2059,NO
8,4,2005,2000,2055,2059,NO
9,5,2047,2000,2144,2059,YES
11,7,2001,2000,2106,2059,YES
12,1,1959,2000,2103,2059,YES
13,2,1958,2000,2101,2059,YES
14,3,1958,2000,2057,2059,NO
15,4,1958,2000,2054,2059,NO
16,5,2000,2000,2100,2059,YES
18,7,2008,2000,2110,2059,YES
19,1,1959,2000,2059,2059,NO
20,2,1958,2000,2058,2059,NO
21,3,2000,2000,2058,2059,NO
22,4,,2000,,2059,YES
23,5,2052,2000,2149,2059,YES
25,7,2009,2000,2106,2059,YES
26,1,1959,2000,2055,2059,NO
27,2,2007,2000,2105,2059,YES
28,3,2111,2019,2225,2122,YES
29,4,2055,2019,2158,2122,YES
30,5,2021,2019,2118,2122,NO
1,4,645,645,811,803,YES
6,2,735,645,906,803,YES
7,3,645,645,814,803,YES
8,4,645,645,808,803,YES
9,5,646,645,806,803,YES
12,1,647,645,809,803,YES
13,2,645,645,802,803,NO
14,3,645,645,808,803,YES
15,4,645,645,806,803,YES
16,5,648,645,808,803,YES
19,1,646,645,812,803,YES
20,2,644,645,812,803,YES
21,3,647,645,807,803,YES
26,1,644,645,810,803,YES
27,2,645,645,813,803,YES
28,3,634,635,759,753,YES
29,4,636,635,805,753,YES
30,5,639,635,808,753,YES
31,6,850,840,1017,954,YES
1,4,645,645,807,804,YES
2,5,646,645,812,804,YES
5,1,646,645,907,804,YES
6,2,706,645,825,804,YES
8,4,648,645,814,804,YES
9,5,645,645,806,804,YES
12,1,644,645,803,804,NO
13,2,645,645,809,804,YES
14,3,652,645,820,804,YES
15,4,646,645,806,804,YES
16,5,644,645,806,804,YES
19,1,647,645,810,804,YES
20,2,644,645,801,804,NO
21,3,644,645,808,804,YES
22,4,645,645,806,804,YES
23,5,644,645,804,804,NO
26,1,647,645,806,804,YES
27,2,645,645,800,804,NO
28,3,634,635,753,758,NO
30,5,634,635,753,758,NO
1,4,830,829,950,946,YES
2,5,829,829,952,946,YES
3,6,828,829,948,946,YES
5,1,927,829,1058,946,YES
6,2,850,829,1014,946,YES
8,4,831,829,956,946,YES
9,5,829,829,951,946,YES
10,6,829,829,956,946,YES
12,1,828,829,954,946,YES
13,2,830,829,947,946,YES
14,3,836,829,955,946,YES
15,4,829,829,951,946,YES
16,5,829,829,954,946,YES
17,6,828,829,952,946,YES
19,1,828,829,948,946,YES
20,2,828,829,956,946,YES
21,3,828,829,952,946,YES
22,4,828,829,952,946,YES
23,5,828,829,945,946,NO
24,6,836,829,953,946,YES
26,1,828,829,953,946,YES
27,2,828,829,954,946,YES
28,3,821,823,943,941,YES
30,5,822,823,940,941,NO
4,7,1655,1630,1817,1736,YES
5,1,1632,1630,1742,1736,YES
6,2,1636,1630,1740,1736,YES
7,3,1636,1630,1751,1736,YES
8,4,1631,1630,1738,1736,YES
9,5,1700,1630,1825,1736,YES
11,7,1634,1630,1745,1736,YES
13,2,1631,1630,1742,1736,YES
15,4,1643,1630,1753,1736,YES
16,5,1651,1630,1805,1736,YES
18,7,1632,1630,1745,1736,YES
19,1,1630,1630,1739,1736,YES
20,2,1636,1630,1740,1736,YES
21,3,1642,1630,1756,1736,YES
22,4,1656,1630,1815,1736,YES
23,5,1646,1630,1800,1736,YES
25,7,1630,1630,1747,1736,YES
27,2,1634,1630,1756,1736,YES
28,3,1701,1630,1832,1743,YES
29,4,1711,1630,1826,1743,YES
30,5,1634,1630,1746,1743,YES
31,6,1639,1630,1756,1743,YES
3,6,1815,1815,1938,1929,YES
10,6,1814,1815,1935,1929,YES
17,6,1814,1815,1935,1929,YES
24,6,1815,1815,1938,1929,YES
31,6,1830,1810,1955,1926,YES
28,3,918,916,1014,1009,YES
29,4,1033,916,1128,1009,YES
30,5,917,916,1009,1009,NO
31,6,916,916,1021,1009,YES
1,4,1029,1029,1140,1144,NO
2,5,1030,1029,1155,1144,YES
3,6,1029,1029,1147,1144,YES
4,7,1036,1029,1149,1144,YES
5,1,1028,1029,1140,1144,NO
6,2,1028,1029,1144,1144,NO
7,3,1029,1029,1142,1144,NO
8,4,1028,1029,1144,1144,NO
9,5,1028,1029,1142,1144,NO
10,6,1028,1029,1144,1144,NO
11,7,1030,1029,1140,1144,NO
12,1,1029,1029,1141,1144,NO
13,2,1027,1029,1146,1144,YES
14,3,1029,1029,1145,1144,YES
15,4,1029,1029,1144,1144,NO
16,5,1028,1029,1145,1144,YES
17,6,1028,1029,1151,1144,YES
19,1,1030,1029,1142,1144,NO
20,2,1027,1029,1138,1144,NO
21,3,1029,1029,1140,1144,NO
22,4,1030,1029,1148,1144,YES
23,5,1029,1029,1144,1144,NO
24,6,1028,1029,1145,1144,YES
25,7,1027,1029,1139,1144,NO
26,1,1028,1029,1140,1144,NO
27,2,1028,1029,1138,1144,NO
28,3,1040,1040,1150,1201,NO
29,4,1144,1040,1304,1201,YES
30,5,1039,1040,1156,1201,NO
31,6,1039,1040,1151,1201,NO
1,4,1628,1628,1800,1745,YES
2,5,1633,1628,1752,1745,YES
5,1,1627,1628,1751,1745,YES
6,2,1627,1628,1749,1745,YES
7,3,1627,1628,1748,1745,YES
8,4,1637,1628,1803,1745,YES
9,5,1644,1628,1804,1745,YES
11,7,1630,1628,1800,1745,YES
13,2,1627,1628,1743,1745,NO
14,3,1634,1628,1753,1745,YES
15,4,1628,1628,1753,1745,YES
16,5,1629,1628,1750,1745,YES
18,7,1650,1628,1810,1745,YES
19,1,1628,1628,1754,1745,YES
20,2,1628,1628,1752,1745,YES
22,4,1629,1628,1754,1745,YES
23,5,1646,1628,1809,1745,YES
25,7,1629,1628,1751,1745,YES
26,1,1627,1628,1748,1745,YES
27,2,1628,1628,1754,1745,YES
28,3,1644,1645,1809,1801,YES
29,4,1644,1645,1757,1801,NO
30,5,1642,1645,1807,1801,YES
1,4,1846,1830,2002,1936,YES
2,5,1842,1830,1951,1936,YES
4,7,1838,1830,1952,1936,YES
5,1,1835,1830,1946,1936,YES
6,2,1837,1830,2004,1936,YES
7,3,1829,1830,1946,1936,YES
9,5,1903,1830,2031,1936,YES
11,7,1839,1830,2001,1936,YES
12,1,1842,1830,1958,1936,YES
13,2,1831,1830,1948,1936,YES
14,3,1837,1830,1952,1936,YES
16,5,1942,1830,2107,1936,YES
18,7,1835,1830,1948,1936,YES
19,1,1830,1830,1942,1936,YES
20,2,1834,1830,1945,1936,YES
21,3,1830,1830,1939,1936,YES
22,4,2045,1830,2243,1936,YES
23,5,1910,1830,2019,1936,YES
25,7,1836,1830,1947,1936,YES
26,1,1846,1830,1958,1936,YES
27,2,1830,1830,1946,1936,YES
1,4,1210,1210,1330,1322,YES
2,5,1210,1210,1326,1322,YES
3,6,1210,1210,1344,1322,YES
4,7,1210,1210,1330,1322,YES
5,1,1210,1210,1332,1322,YES
6,2,1208,1210,1325,1322,YES
7,3,1209,1210,1325,1322,YES
8,4,1210,1210,1322,1322,NO
9,5,1210,1210,1326,1322,YES
10,6,1209,1210,1331,1322,YES
11,7,1210,1210,1333,1322,YES
12,1,1209,1210,1327,1322,YES
13,2,1211,1210,1324,1322,YES
14,3,1210,1210,1323,1322,YES
15,4,1210,1210,1333,1322,YES
16,5,1209,1210,1333,1322,YES
17,6,1210,1210,1338,1322,YES
19,1,1209,1210,1326,1322,YES
20,2,1210,1210,1329,1322,YES
21,3,1209,1210,1328,1322,YES
22,4,1211,1210,1334,1322,YES
23,5,1212,1210,1327,1322,YES
24,6,1210,1210,1328,1322,YES
25,7,1209,1210,1325,1322,YES
26,1,1208,1210,1323,1322,YES
27,2,1209,1210,1328,1322,YES
28,3,1231,1231,1347,1343,YES
29,4,1318,1231,1428,1343,YES
30,5,1231,1231,1347,1343,YES
31,6,1231,1231,1353,1343,YES
28,3,1414,1414,1508,1510,NO
29,4,1449,1414,1541,1510,YES
30,5,1420,1414,1516,1510,YES
31,6,1414,1414,1518,1510,YES
1,4,1322,1310,1446,1424,YES
2,5,1309,1310,1430,1424,YES
4,7,1310,1310,1423,1424,NO
5,1,1308,1310,1423,1424,NO
6,2,1309,1310,1424,1424,NO
8,4,1310,1310,1442,1424,YES
9,5,1309,1310,1430,1424,YES
11,7,1312,1310,1423,1424,NO
12,1,1332,1310,1446,1424,YES
13,2,1309,1310,1426,1424,YES
14,3,1309,1310,1429,1424,YES
15,4,1311,1310,1430,1424,YES
16,5,1312,1310,1427,1424,YES
18,7,1309,1310,1424,1424,NO
19,1,1312,1310,1431,1424,YES
20,2,1311,1310,1429,1424,YES
21,3,1312,1310,1425,1424,YES
22,4,1308,1310,1423,1424,NO
23,5,1309,1310,1427,1424,YES
25,7,1310,1310,1429,1424,YES
26,1,1312,1310,1430,1424,YES
27,2,1308,1310,1427,1424,YES
29,4,1300,1300,1418,1421,NO
30,5,1259,1300,1426,1421,YES
1,4,1850,1845,2020,2005,YES
2,5,1846,1845,2014,2005,YES
4,7,1915,1845,2041,2005,YES
5,1,,1845,,2005,YES
6,2,1902,1845,2027,2005,YES
7,3,1850,1845,2008,2005,YES
8,4,1941,1845,2102,2005,YES
11,7,1853,1845,2019,2005,YES
12,1,1859,1845,2021,2005,YES
13,2,1942,1845,2103,2005,YES
14,3,1914,1845,2046,2005,YES
15,4,1858,1845,2023,2005,YES
16,5,1849,1845,2014,2005,YES
18,7,1915,1845,2038,2005,YES
19,1,1846,1845,2006,2005,YES
20,2,1909,1845,2032,2005,YES
21,3,1852,1845,2011,2005,YES
22,4,1922,1845,2047,2005,YES
23,5,1930,1845,2058,2005,YES
25,7,1901,1845,2030,2005,YES
26,1,1904,1845,2037,2005,YES
27,2,1852,1845,2026,2005,YES
28,3,2017,1915,2144,2033,YES
29,4,1948,1915,2112,2033,YES
30,5,1931,1915,2100,2033,YES
1,4,1450,1450,1603,1603,NO
2,5,1451,1450,1609,1603,YES
3,6,1450,1450,1605,1603,YES
5,1,1450,1450,1608,1603,YES
6,2,1452,1450,1604,1603,YES
7,3,1450,1450,1607,1603,YES
8,4,1455,1450,1619,1603,YES
9,5,1502,1450,1625,1603,YES
10,6,1505,1450,1614,1603,YES
11,7,1455,1450,1609,1603,YES
13,2,1449,1450,1604,1603,YES
14,3,1449,1450,1606,1603,YES
15,4,1450,1450,1604,1603,YES
16,5,1449,1450,1604,1603,YES
17,6,1452,1450,1603,1603,NO
18,7,1512,1450,1628,1603,YES
19,1,1448,1450,1600,1603,NO
20,2,1448,1450,1600,1603,NO
22,4,1457,1450,1606,1603,YES
23,5,1507,1450,1621,1603,YES
24,6,1448,1450,1603,1603,NO
25,7,1449,1450,1607,1603,YES
26,1,1449,1450,1603,1603,NO
27,2,1452,1450,1602,1603,NO
28,3,1501,1500,1618,1619,NO
29,4,1458,1500,1617,1619,NO
30,5,1457,1500,1611,1619,NO
31,6,1459,1500,1611,1619,NO
2,5,2229,2230,2342,2342,NO
4,7,2319,2230,36,2342,YES
9,5,2230,2230,2345,2342,YES
11,7,2231,2230,2347,2342,YES
16,5,2230,2230,2347,2342,YES
18,7,2229,2230,2349,2342,YES
23,5,2250,2230,9,2342,YES
25,7,2230,2230,2348,2342,YES
30,5,2302,2300,29,12,YES
2,5,2044,2045,2200,2159,YES
4,7,2140,2045,2252,2159,YES
9,5,2050,2045,2205,2159,YES
11,7,2043,2045,2200,2159,YES
16,5,2055,2045,2210,2159,YES
18,7,2053,2045,2204,2159,YES
23,5,2104,2045,2227,2159,YES
25,7,2047,2045,2201,2159,YES
30,5,2116,2110,2227,2228,NO
1,4,1946,1945,2104,2101,YES
2,5,1945,1945,2103,2101,YES
4,7,1955,1945,2117,2101,YES
5,1,2104,1945,2244,2101,YES
6,2,1945,1945,2109,2101,YES
9,5,1947,1945,2105,2101,YES
11,7,2005,1945,2128,2101,YES
12,1,1945,1945,2102,2101,YES
13,2,1944,1945,2106,2101,YES
14,3,1944,1945,2100,2101,NO
15,4,1948,1945,2107,2101,YES
16,5,2028,1945,2156,2101,YES
18,7,1946,1945,2105,2101,YES
19,1,1945,1945,2107,2101,YES
20,2,1945,1945,2102,2101,YES
21,3,1944,1945,2107,2101,YES
22,4,2049,1945,2218,2101,YES
23,5,1946,1945,2107,2101,YES
25,7,1948,1945,2111,2101,YES
26,1,1945,1945,2107,2101,YES
27,2,1945,1945,2113,2101,YES
30,5,2002,1950,2128,2112,YES
1,4,1648,1648,1811,1806,YES
2,5,1649,1648,1819,1806,YES
3,6,1647,1648,1814,1806,YES
4,7,1650,1648,1812,1806,YES
5,1,1647,1648,1804,1806,NO
6,2,1647,1648,1802,1806,NO
8,4,1650,1648,1819,1806,YES
